Layer_enc,Cell_enc,BTS_enc,DayOfWeek,DayOfMonth,Month,WeekOfYear,IsWeekend,Overload_Flag,LTE_PDCCH_CCE_Load_pct,LTE_CFI3_Share_pct,LTE_CceAgg_1,LTE_CceAgg_2,LTE_CceAgg_4,LTE_CceAgg_8,PDCCH_Adm_Rej_Count,LTE_Max_RRC_CU,LTE_Active_UL_Users_TTI,SR_Fail_Ratio,PUCCH_SR_Cong_Count,DL_UL_Vol_Ratio,PRB_Total,Lat,Lon,Azimuth,PCI,EARFCN,TAC,Total_DataVol_GB,LTE_Avg_RRC_CU,LTE_Cell_THP_DL_Mbps,LTE_PrbUtil_DL_pct
1,29,9,0,4,3,10,0,0,33.52,73.16,7545148,3771612,2079607,486384,70,208.5,78.5,0.0188,562,4.913240462961033,116.67000000000002,14.732819,-17.485155,339,213,1650,2001,27.6962,150.0,6.496,69.04
0,29,9,0,4,3,10,0,0,28.86,61.42,7661554,3917532,1984164,475316,61,147.1,60.2,0.0156,454,4.679355674260058,103.32,14.732819,-17.485155,339,17,6300,2001,22.7208,118.3,7.833,59.79
2,29,9,0,4,3,10,0,0,23.01,48.29,7609271,4042337,1995433,508539,47,84.3,33.9,0.0119,363,4.840252808867159,77.48,14.732819,-17.485155,339,402,1650,2001,17.6585,65.7,9.299,44.84
1,28,9,0,4,3,10,0,0,35.27,71.84,7553898,4117952,1928595,527484,70,189.7,82.8,0.0191,531,5.3707650866860766,115.85,14.732819,-17.485155,220,86,6300,2001,27.8331,150.8,6.328,66.03
0,28,9,0,4,3,10,0,0,29.73,63.26,8358389,4065419,2062669,479604,57,138.7,60.6,0.0146,453,5.375468965623672,101.19,14.732819,-17.485155,220,265,1650,2001,23.7034,114.6,7.656,60.14
2,28,9,0,4,3,10,0,0,23.14,51.23,8219351,4132694,2037478,480645,49,88.0,32.1,0.0112,360,5.1421594173243,78.57,14.732819,-17.485155,220,248,6300,2001,18.3972,61.7,9.543,45.41
1,27,9,0,4,3,10,0,0,32.67,72.4,7844736,4205480,1933907,492330,71,200.7,76.7,0.0172,520,4.473657800619019,122.87,14.732819,-17.485155,21,168,300,2001,26.1983,162.7,6.504,71.52
0,27,9,0,4,3,10,0,0,27.61,62.65,8449145,3901813,2064613,507479,59,136.6,59.1,0.0156,460,4.75313083618971,97.13,14.732819,-17.485155,21,370,1650,2001,22.8836,113.1,7.72,56.24
2,27,9,0,4,3,10,0,0,22.26,48.33,8173018,3780002,1900350,512979,44,78.8,34.4,0.0115,342,4.896204461117832,77.75,14.732819,-17.485155,21,269,300,2001,17.6511,68.8,8.614,46.93
1,26,8,0,4,3,10,0,0,34.03,71.38,8273615,4188200,2109280,517214,73,196.5,82.4,0.017,566,4.775244392820232,118.07,14.730851,-17.42687,313,38,300,2001,27.2375,149.9,6.623,69.31
0,26,8,0,4,3,10,0,0,29.98,61.58,7651625,4016948,1931648,470727,64,148.2,57.1,0.0146,461,4.97186576186978,97.6,14.730851,-17.42687,313,175,6300,2001,22.7654,117.7,7.498,57.95
2,26,8,0,4,3,10,0,0,22.26,51.71,8476828,4150705,2027652,488375,46,82.9,35.0,0.0116,338,4.626322155897058,76.15,14.730851,-17.42687,313,336,6300,2001,16.962,62.4,8.872,43.23
1,25,8,0,4,3,10,0,0,33.95,74.32,7621438,4067596,1931849,507175,68,187.6,78.8,0.017,572,5.189438176282418,118.63,14.730851,-17.42687,232,46,6300,2001,26.5799,159.6,6.8,70.25
0,25,8,0,4,3,10,0,0,29.56,63.45,8309581,3823611,2086883,525365,61,147.6,57.2,0.0151,439,5.035985011351942,104.38,14.730851,-17.42687,232,221,1650,2001,24.0899,107.2,7.277,63.08
2,25,8,0,4,3,10,0,0,22.5,53.1,8015052,4201308,1999271,529529,45,88.0,34.7,0.0115,366,4.835951946513552,77.12,14.730851,-17.42687,232,122,1650,2001,16.7811,62.2,9.145,45.34
1,24,8,0,4,3,10,0,0,36.22,74.08,8409920,4019179,2082087,501257,68,204.1,82.3,0.0186,553,4.786505234171234,116.16999999999999,14.730851,-17.42687,0,72,1650,2001,26.0662,147.5,6.77,67.27
0,24,8,0,4,3,10,0,0,30.79,60.2,8155365,4027736,2055356,497912,61,150.9,58.5,0.0148,460,4.575612663551272,102.11,14.730851,-17.42687,0,367,300,2001,22.2459,107.2,7.604,60.88
2,24,8,0,4,3,10,0,0,22.83,53.36,8075251,3891597,1899060,475139,45,81.9,32.9,0.0111,351,5.534101117430071,74.2,14.730851,-17.42687,0,285,300,2001,18.3966,63.1,9.296,43.46
1,23,7,0,4,3,10,0,0,35.17,74.24,8348285,3864035,1902971,471418,72,199.1,78.2,0.0182,539,5.311847864094677,117.41,14.716365,-17.427395,352,230,6300,2001,27.8193,149.5,6.536,67.4
2,23,7,0,4,3,10,0,0,23.04,49.56,8037594,3909427,2026480,512969,46,79.9,34.2,0.0113,352,4.609839471254522,75.91,14.716365,-17.427395,352,129,300,2001,17.3654,62.8,9.071,44.57
2,15,5,0,4,3,10,0,0,21.39,51.92,8040224,4179014,2055733,518393,47,87.2,33.4,0.0113,371,5.061468926780166,79.24,14.695796,-17.46843,68,127,300,2001,18.2594,63.3,9.541,45.33
0,22,7,0,4,3,10,0,0,28.46,63.16,7871803,3950162,2046912,493313,59,140.9,54.3,0.0155,468,4.799711730256611,98.43,14.716365,-17.427395,208,486,300,2001,22.7883,107.9,7.863,56.13
0,14,4,0,4,3,10,0,0,29.14,64.34,7565087,3839816,2057128,474967,59,141.2,56.2,0.0157,447,4.563113165914991,100.49,14.741199,-17.462393,281,232,300,2001,22.4581,108.8,7.279,58.83
0,6,2,0,4,3,10,0,0,28.55,60.51,7632384,3828636,2062762,507093,58,146.5,59.4,0.0157,435,4.953536095834324,104.23,14.679119,-17.472514,117,475,300,2001,23.6201,105.9,7.172,62.45
2,6,2,0,4,3,10,0,0,21.93,53.7,7530404,4194583,1901908,489158,49,84.4,33.3,0.0114,343,5.259816813276503,79.28,14.679119,-17.472514,117,293,300,2001,18.2746,66.3,9.092,47.8
1,5,1,0,4,3,10,0,0,35.16,75.69,8291341,3895376,1922585,515036,76,195.9,81.8,0.0177,567,4.848074860734437,123.65,14.734633,-17.444613,251,325,300,2001,25.9248,152.1,6.145,73.38
0,5,1,0,4,3,10,0,0,28.92,66.64,8043792,4211903,1972664,527671,58,135.7,53.9,0.0146,469,5.309973214730889,102.21000000000001,14.734633,-17.444613,251,100,6300,2001,23.3088,106.2,7.974,60.7
2,5,1,0,4,3,10,0,0,22.21,51.66,7974532,3843136,1984124,493910,47,79.1,34.0,0.0117,366,4.766106859191889,75.50999999999999,14.734633,-17.444613,251,109,1650,2001,17.4985,64.3,9.474,43.43
1,4,1,0,4,3,10,0,0,32.79,71.07,7760233,4023628,2051503,509611,75,203.7,80.3,0.0178,523,5.3235671761877486,116.41,14.734633,-17.444613,175,473,1650,2001,27.8488,155.4,6.7,67.45
0,4,1,0,4,3,10,0,0,30.01,63.79,7727188,4058987,1900483,473100,61,145.4,60.5,0.0153,449,4.953960111855561,100.02,14.734633,-17.444613,175,428,300,2001,23.0419,114.6,7.867,59.83
1,3,1,0,4,3,10,0,0,35.64,74.72,7824245,3841356,2013632,526169,72,188.4,83.9,0.0172,541,5.331970172696861,117.51,14.734633,-17.444613,110,486,6300,2001,28.2274,156.6,6.798,69.23
0,3,1,0,4,3,10,0,0,30.1,65.25,8002531,4036913,1998204,481714,59,134.9,55.0,0.0161,484,5.053079282989502,104.66,14.734633,-17.444613,110,317,1650,2001,23.4906,113.5,8.004,60.61
2,3,1,0,4,3,10,0,0,20.91,49.26,7674375,4023392,2046054,509117,47,81.0,34.5,0.0119,365,5.062283321552222,77.17,14.734633,-17.444613,110,116,300,2001,18.4434,63.9,9.202,46.53
1,2,0,0,4,3,10,0,0,35.5,76.48,8052992,4014232,1938044,475586,75,201.2,77.8,0.0185,565,5.185071374003926,119.61,14.74571,-17.452823,350,191,1650,2001,27.6369,151.5,6.768,71.55
0,2,0,0,4,3,10,0,0,27.64,64.24,8321890,3913974,1924764,472446,62,134.8,55.3,0.0156,441,5.460420476873556,102.68,14.74571,-17.452823,350,451,300,2001,24.103,111.7,7.454,59.93
2,2,0,0,4,3,10,0,0,22.22,50.97,7808843,3896723,1888852,506573,44,81.4,32.4,0.0112,350,4.866769572256077,78.23,14.74571,-17.452823,350,298,6300,2001,16.9456,68.4,8.937,44.27
1,1,0,0,4,3,10,0,0,35.46,72.36,8380247,3912641,1906412,483676,74,206.6,79.3,0.0178,521,5.080330527360838,122.36,14.74571,-17.452823,208,434,300,2001,26.4376,145.3,6.675,70.53
0,1,0,0,4,3,10,0,0,27.41,63.62,7623575,3775086,2032738,488861,64,138.8,59.0,0.0148,435,5.249906812363776,101.34,14.74571,-17.452823,208,483,1650,2001,23.9763,110.4,7.82,59.15
2,1,0,0,4,3,10,0,0,22.95,51.7,7591082,3932063,1907808,521786,45,79.3,32.8,0.012,356,4.617068187434203,79.85,14.74571,-17.452823,208,387,300,2001,17.142,63.8,8.547,46.88
1,0,0,0,4,3,10,0,0,34.6,71.47,8404999,3802476,1927035,472713,71,192.6,77.8,0.0175,542,4.762346928299637,125.64,14.74571,-17.452823,17,461,1650,2001,26.6142,160.5,6.803,73.53
0,0,0,0,4,3,10,0,0,27.55,60.48,8430930,4223503,2074015,488276,62,142.0,57.2,0.0144,481,4.954697517151335,99.93,14.74571,-17.452823,17,113,1650,2001,22.5662,106.5,7.658,57.31
1,14,4,0,4,3,10,0,0,34.19,69.28,8092969,3920437,2065018,476395,73,197.9,78.6,0.0175,560,5.054332407494282,116.48,14.741199,-17.462393,281,315,300,2001,27.3523,157.9,6.078,66.42
1,6,2,0,4,3,10,0,0,35.34,72.94,8056068,3963626,2097525,476671,67,197.3,75.6,0.0172,549,4.488766169319272,115.44999999999999,14.679119,-17.472514,117,296,6300,2001,26.3191,146.2,6.816,66.69
2,7,2,0,4,3,10,0,0,21.01,51.28,8375497,4013296,2118311,474427,49,83.9,34.2,0.0116,356,5.096569374616872,78.49000000000001,14.679119,-17.472514,150,399,300,2001,18.1313,66.3,8.785,48.2
2,4,1,0,4,3,10,0,0,22.26,52.76,8001455,4143181,2035991,512118,48,82.0,31.8,0.0118,331,5.0796793222530905,81.48,14.734633,-17.444613,175,439,6300,2001,18.4166,64.3,9.423,47.89
1,13,4,0,4,3,10,0,0,34.71,76.93,7913035,4024982,1984670,487667,74,189.4,79.1,0.0189,559,4.761462603093072,118.28999999999999,14.741199,-17.462393,156,466,1650,2001,26.3671,161.3,6.254,68.25
2,14,4,0,4,3,10,0,0,21.35,51.42,7781415,3768827,2099431,477065,45,84.2,34.8,0.0113,330,5.256290253031749,79.82,14.741199,-17.462393,281,245,1650,2001,17.3664,66.4,8.693,45.77
0,7,2,0,4,3,10,0,0,28.94,67.26,7859218,4040154,1898656,528463,62,143.7,59.4,0.0156,440,4.81866134078438,98.39,14.679119,-17.472514,150,462,6300,2001,23.474,109.0,7.534,57.44
0,13,4,0,4,3,10,0,0,29.85,61.3,8341468,4158505,1975324,510085,59,149.9,54.4,0.0148,432,4.740847680307466,97.88,14.741199,-17.462393,156,118,1650,2001,22.5565,105.1,7.713,57.83
2,13,4,0,4,3,10,0,0,23.2,50.39,8428270,3939188,1944978,508639,44,80.2,34.1,0.011,339,5.315874877055876,74.73,14.741199,-17.462393,156,337,300,2001,17.6304,66.9,8.978,43.89
1,12,4,0,4,3,10,0,0,32.5,75.19,8476999,4001053,2022892,474024,69,207.5,76.3,0.017,538,5.337030224138504,116.89,14.741199,-17.462393,1,93,300,2001,28.228,149.0,6.191,69.48
0,12,4,0,4,3,10,0,0,29.2,63.19,8403061,3926246,1963268,514250,59,142.2,55.0,0.0153,454,5.210218799504696,100.16999999999999,14.741199,-17.462393,1,309,1650,2001,23.9608,106.8,7.849,58.94
2,12,4,0,4,3,10,0,0,22.43,53.55,8102446,3963582,2056746,526062,46,79.8,34.8,0.0112,368,4.937517311319688,76.71,14.741199,-17.462393,1,331,1650,2001,17.7145,69.0,9.3,43.73
0,11,3,0,4,3,10,0,0,30.44,65.41,8277053,3832803,1954813,484909,57,144.3,59.8,0.015,476,5.166897174936327,102.59,14.732595,-17.505634,247,294,1650,2001,24.0919,115.1,7.246,59.91
2,11,3,0,4,3,10,0,0,21.94,49.74,8303935,3970784,1970466,497760,48,83.7,35.1,0.0115,352,4.620219038427313,79.33,14.732595,-17.505634,247,382,1650,2001,17.134,63.2,9.266,47.7
1,10,3,0,4,3,10,0,0,33.58,75.02,8412347,4158697,2111606,477457,75,190.4,81.5,0.0182,562,4.474897268417649,118.78999999999999,14.732595,-17.505634,219,211,1650,2001,26.2661,146.4,6.641,69.46
1,11,3,0,4,3,10,0,0,35.0,76.58,8041015,3880863,1962967,480895,72,195.6,83.5,0.0173,545,4.576112185335882,122.2,14.732595,-17.505634,247,169,6300,2001,26.3101,153.7,6.231,71.39
2,8,2,0,4,3,10,0,0,22.1,52.0,7643993,4217944,2025481,483718,47,82.2,34.2,0.0117,362,4.535340800739993,77.77000000000001,14.679119,-17.472514,340,65,300,2001,17.0219,62.2,9.379,44.25
2,10,3,0,4,3,10,0,0,21.36,53.9,8380894,3798512,2005882,494623,44,82.6,34.9,0.0121,340,4.6425464685876126,75.41,14.732595,-17.505634,219,315,300,2001,17.5846,68.9,8.809,44.45
1,9,3,0,4,3,10,0,0,35.39,75.15,7998504,3801721,2008905,505210,71,189.2,77.9,0.0183,544,4.934252445079179,121.77,14.732595,-17.505634,44,466,300,2001,26.4829,150.4,6.146,71.71
0,9,3,0,4,3,10,0,0,28.94,66.56,8237572,3777607,1940584,512800,61,143.6,56.9,0.0154,444,4.866946524755138,101.4,14.732595,-17.505634,44,380,1650,2001,21.9985,106.3,7.456,58.73
2,9,3,0,4,3,10,0,0,21.22,52.11,7962347,3859040,1967424,500205,44,86.7,31.8,0.0122,368,5.254430791717551,74.31,14.732595,-17.505634,44,273,1650,2001,18.3538,66.3,8.725,43.38
1,8,2,0,4,3,10,0,0,34.17,69.75,7835601,4064032,1937634,474551,68,189.7,80.5,0.0173,529,4.866662680596885,123.5,14.679119,-17.472514,340,439,300,2001,26.9752,147.7,6.434,74.24
0,8,2,0,4,3,10,0,0,29.78,64.24,7724445,3825458,1883490,491035,60,142.0,56.2,0.0153,474,4.8088131013587425,103.89,14.679119,-17.472514,340,39,300,2001,23.3119,117.0,7.241,60.53
0,10,3,0,4,3,10,0,0,29.1,64.17,7752713,3815121,2026548,487317,58,142.7,54.1,0.015,438,4.707281491574034,100.32,14.732595,-17.505634,219,394,6300,2001,22.4302,112.0,7.819,59.14
1,7,2,0,4,3,10,0,0,33.69,71.96,8298131,4233892,1916100,505647,76,206.1,78.9,0.0178,525,5.051023693675133,113.00999999999999,14.679119,-17.472514,150,202,1650,2001,28.4715,160.7,6.774,66.21
1,19,6,1,5,3,10,0,0,37.84,76.88,7715333,3792147,2090564,493364,80,198.1,79.3,0.0187,590,4.73450943116443,128.35,14.683547,-17.438945,167,251,6300,2001,28.3785,165.9,5.996,76.8
2,20,6,1,5,3,10,0,0,24.09,54.26,8150460,4100207,1882007,483060,49,83.1,36.5,0.0124,351,4.680837277000557,81.39,14.683547,-17.438945,327,423,300,2001,18.7089,71.4,8.678,47.96
0,20,6,1,5,3,10,0,0,29.47,68.59,7707176,4187396,2059994,524493,65,153.8,61.0,0.0164,464,5.108529680849003,109.86999999999999,14.683547,-17.438945,327,263,300,2001,25.0779,123.3,6.906,64.82
1,21,7,1,5,3,10,0,0,37.25,77.6,8118793,4125905,1889345,520227,76,212.1,84.5,0.0192,603,5.176553683207313,120.35,14.716365,-17.427395,53,273,1650,2001,28.2182,170.1,5.885,69.78
2,21,7,1,5,3,10,0,0,24.2,52.79,7700213,3802424,2047747,492100,46,85.8,36.9,0.012,373,5.033941229825379,85.02000000000001,14.716365,-17.427395,53,14,300,2001,18.2364,65.0,8.564,49.77
0,21,7,1,5,3,10,0,0,29.76,65.14,8073634,3792282,1902780,529933,66,156.6,64.0,0.0156,457,4.630720289750555,111.74000000000001,14.716365,-17.427395,53,273,6300,2001,23.3515,122.8,7.564,65.59
0,19,6,1,5,3,10,0,0,30.59,62.61,8058251,4061644,2045271,485196,66,151.6,62.7,0.0168,483,5.302114062919988,105.69999999999999,14.683547,-17.438945,167,471,6300,2001,24.7113,122.5,7.147,59.73
1,20,6,1,5,3,10,0,0,34.75,77.96,7593892,4094154,1971871,519309,78,203.3,81.2,0.02,579,4.858247007521185,128.97,14.683547,-17.438945,327,367,6300,2001,28.7332,166.8,5.814,74.16
2,19,6,1,5,3,10,0,0,24.03,54.06,7684826,4000054,1978869,522231,49,84.2,33.7,0.0121,354,5.097221446229025,83.43,14.683547,-17.438945,167,77,1650,2001,18.3484,69.7,8.724,49.3
1,15,5,1,5,3,10,0,0,34.18,77.71,7878964,4213335,2034016,510288,73,207.0,79.6,0.0185,554,5.175859179477772,126.02,14.695796,-17.46843,68,47,1650,2001,28.9434,167.9,5.865,72.61
0,18,6,1,5,3,10,0,0,30.88,69.22,8003007,3853054,2086116,510616,67,155.5,61.2,0.0155,494,4.653585499389925,104.46000000000001,14.683547,-17.438945,109,1,300,2001,24.1253,116.9,7.599,62.17
2,18,6,1,5,3,10,0,0,24.35,51.63,8177728,3813007,1949404,488588,49,88.7,34.7,0.0128,383,5.215256969463992,85.0,14.683547,-17.438945,109,217,1650,2001,19.1049,67.7,8.359,50.37
1,17,5,1,5,3,10,0,0,37.99,72.11,7581446,4155876,1950171,496635,74,209.1,83.5,0.02,543,5.134614721745604,127.32000000000001,14.695796,-17.46843,351,83,6300,2001,29.9151,154.3,6.168,75.43
0,17,5,1,5,3,10,0,0,29.58,63.08,8112112,4116583,2057100,501286,63,158.6,60.7,0.0157,476,5.074658839220669,110.03999999999999,14.695796,-17.46843,351,37,6300,2001,25.0008,119.0,7.481,63.32
2,17,5,1,5,3,10,0,0,24.07,50.12,7607735,3855649,2090592,514323,47,85.3,34.3,0.0117,368,5.29055359258477,81.19,14.695796,-17.46843,351,155,1650,2001,19.3895,67.0,8.908,46.67
1,16,5,1,5,3,10,0,0,35.88,78.08,8439277,3951536,2081552,481312,80,199.0,82.9,0.0181,586,4.915986370391004,124.67000000000002,14.695796,-17.46843,228,62,300,2001,29.5792,153.4,5.954,71.9
0,16,5,1,5,3,10,0,0,29.77,64.7,8168985,4099182,2026401,488774,65,157.6,57.5,0.0155,510,4.50152612623323,108.33,14.695796,-17.46843,228,312,6300,2001,23.5715,124.1,7.346,66.5
2,16,5,1,5,3,10,0,0,23.25,53.12,7852663,3950853,1943426,482319,48,86.1,37.3,0.0125,351,4.688897660726486,84.28,14.695796,-17.46843,228,414,6300,2001,18.6968,70.2,8.404,49.35
2,22,7,1,5,3,10,0,0,22.65,54.6,8475805,4230936,2035882,518264,49,83.6,36.1,0.0126,364,5.190011679328241,81.64,14.716365,-17.427395,208,360,6300,2001,19.1039,68.5,9.266,48.32
1,18,6,1,5,3,10,0,0,34.3,75.16,7538363,3839559,2093805,484492,72,202.0,84.7,0.0184,539,4.698163869035948,123.43,14.683547,-17.438945,109,96,300,2001,27.8792,163.4,6.178,71.09
0,22,7,1,5,3,10,0,0,29.5,63.89,8196933,3978482,2040262,520242,60,156.1,61.8,0.0168,502,5.48396525450423,108.88,14.716365,-17.427395,208,486,300,2001,25.2968,119.3,7.022,63.74
1,29,9,1,5,3,10,0,0,34.64,73.15,7744460,3771379,2080387,528481,73,218.2,82.8,0.018,538,4.850253045680045,128.27,14.732819,-17.485155,339,213,1650,2001,27.7127,171.4,5.731,75.01
2,23,7,1,5,3,10,0,0,24.44,55.25,7579898,3920933,1896083,528520,51,92.9,34.8,0.0117,357,4.684489156199289,83.85,14.716365,-17.427395,352,129,300,2001,18.1744,65.4,9.233,47.96
0,15,5,1,5,3,10,0,0,29.77,62.63,8119879,4034438,2079879,524365,65,142.9,58.9,0.0158,475,5.094847495900211,110.56,14.695796,-17.46843,68,40,300,2001,24.4626,118.5,7.035,65.23
0,29,9,1,5,3,10,0,0,31.07,63.98,8153125,4090261,1908893,526311,65,146.0,60.7,0.016,464,5.233848482424427,106.43,14.732819,-17.485155,339,17,6300,2001,24.8694,115.1,7.462,59.4
2,29,9,1,5,3,10,0,0,24.43,52.11,7984659,4006765,1954032,504382,46,85.9,37.3,0.013,365,4.946315133486569,82.38,14.732819,-17.485155,339,402,1650,2001,19.1964,64.8,8.74,46.73
1,28,9,1,5,3,10,0,0,38.08,77.74,7731628,4185367,2104232,524985,77,206.6,83.9,0.0194,565,4.612870272481004,128.43,14.732819,-17.485155,220,86,6300,2001,27.8915,168.0,6.061,76.16
0,28,9,1,5,3,10,0,0,31.84,65.37,8107357,3939259,1941280,476352,63,154.2,57.3,0.0159,465,5.1895302758515225,109.41,14.732819,-17.485155,220,265,1650,2001,24.0059,120.0,7.091,65.51
2,28,9,1,5,3,10,0,0,24.69,52.64,8176511,4015154,1887838,498535,47,90.0,35.6,0.0127,351,5.38469091056534,81.69,14.732819,-17.485155,220,248,6300,2001,19.1775,72.8,8.77,45.96
1,27,9,1,5,3,10,0,0,35.49,75.24,8310610,4153934,1994564,491049,78,204.7,79.4,0.0189,568,5.051145149976378,125.49000000000001,14.732819,-17.485155,21,168,300,2001,28.3969,157.3,5.822,74.79
0,27,9,1,5,3,10,0,0,28.96,67.07,8152368,4015500,1904783,480351,63,158.9,63.9,0.0157,511,5.438673538398414,109.71000000000001,14.732819,-17.485155,21,370,1650,2001,24.9246,122.3,6.97,64.79
2,27,9,1,5,3,10,0,0,23.03,53.65,8223680,4076157,2103573,519258,50,92.5,34.6,0.0116,385,5.14998665625755,84.64,14.732819,-17.485155,21,269,300,2001,18.627,68.0,8.458,50.49
